collection,filename,page numbers,pages in document,main title,sub title,alt title,descriptive title,author,publication,volume,issue/number,date (month.day/season),year,publisher,publisher location,subjects
britishj,fla-ches-jjw1-0032-001.tif,665,665-670,WILFRID WARD,,,,"Chesterton, G. K.",Living Age,290,,09.09,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0032-002.tif,666,665-670,WILFRID WARD,,,,"Chesterton, G. K.",Living Age,290,,09.09,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0032-003.tif,667,665-670,WILFRID WARD,,,,"Chesterton, G. K.",Living Age,290,,09.09,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0032-004.tif,668,665-670,WILFRID WARD,,,,"Chesterton, G. K.",Living Age,290,,09.09,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0032-005.tif,669,665-670,WILFRID WARD,,,,"Chesterton, G. K.",Living Age,290,,09.09,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0032-006.tif,670,665-670,WILFRID WARD,,,,"Chesterton, G. K.",Living Age,290,,09.09,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0033-001.tif,805,805-808,MR. CHESTERTON AS A POET,,,,"Squire, J. C.",Living Age,285,,06.26,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0033-002.tif,806,805-808,MR. CHESTERTON AS A POET,,,,"Squire, J. C.",Living Age,285,,06.26,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0033-003.tif,807,805-808,MR. CHESTERTON AS A POET,,,,"Squire, J. C.",Living Age,285,,06.26,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0033-004.tif,808,805-808,MR. CHESTERTON AS A POET,,,,"Squire, J. C.",Living Age,285,,06.26,1916,,,G. K. Chesterton
britishj,fla-ches-jjw1-0034-001.tif,457,457-459,THIS AUTUMN'S POETRY,,,,"Kilmer, Joyce",The Bookman,42,,12.00,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0034-002.tif,458,457-459,THIS AUTUMN'S POETRY,,,,"Kilmer, Joyce",The Bookman,42,,12.00,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0034-003.tif,459,457-459,THIS AUTUMN'S POETRY,,,,"Kilmer, Joyce",The Bookman,42,,12.00,1915,,,G. K. Chesterton
britishj,fla-ches-jjw1-0035-001.tif,29,29-30,Chesterton's England,,,,H. J. L.,The New Republic,14,,02.02,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0035-002.tif,30,29-30,Chesterton's England,,,,H. J. L.,The New Republic,14,,02.02,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0036-001.tif,106,106,After the Play,,,,F. H.,The New Republic,10,,02.24,1917,,,G. K. Chesterton
britishj,fla-ches-jjw1-0037-001.tif,186,186,"CHESTERTON ASSAILS WELL'S ATTEMPTED ""SIMPLIFICATION"" OF RELIGION",,,,,Current Opinion,63,,09.00,1917,,,G. K. Chesterton
britishj,fla-ches-jjw1-0038-001.tif,402,402-403,CHESTERTON'S UTOPIA OF CAPITALISTS,,,,,Current Opinion,63,,12.00,1917,,,G. K. Chesterton
britishj,fla-ches-jjw1-0038-002.tif,403,402-403,CHESTERTON'S UTOPIA OF CAPITALISTS,,,,,Current Opinion,63,,12.00,1917,,,G. K. Chesterton
britishj,fla-ches-jjw1-0039-001.tif,245,245-246,CHESTERTON ATTACKS THE PACIFIST ATTITUDE,,,,,Current Opinion,65,,10.00,1918,,,G. K. Chesterton
britishj,fla-ches-jjw1-0039-002.tif,246,245-246,CHESTERTON ATTACKS THE PACIFIST ATTITUDE,,,,,Current Opinion,65,,10.00,1918,,,G. K. Chesterton
britishj,fla-joyc-jjw1-0001-001.tif,525,525-527,James Joyce,,,,"Macy, John",The Dial,62,,06.14,1917,,,James Joyce
britishj,fla-joyc-jjw1-0001-002.tif,526,525-527,James Joyce,,,,"Macy, John",The Dial,62,,06.14,1917,,,James Joyce
britishj,fla-joyc-jjw1-0001-003.tif,527,525-527,James Joyce,,,,"Macy, John",The Dial,62,,06.14,1917,,,James Joyce
britishj,fla-joyc-jjw1-0002-001.tif,45,45,SHE WEEPS OVER RAHOON,,,,"Joyce, James",The Literary Digest,56,,01.12,1918,,,James Joyce
britishj,fla-joyc-jjw1-0003-001.tif,1087,1087-1088,NOTABLE RECENT FICTION,"Joyce, James. Dubliners. Pp. 278. New York: B. W. Huebsch. $150, 12 cents.",,,,The Literary Digest,54,,04.14,1917,,,James Joyce
britishj,fla-joyc-jjw1-0003-002.tif,1088,1087-1088,NOTABLE RECENT FICTION,"Joyce, James. Dubliners. Pp. 278. New York: B. W. Huebash. $150, 12 cents.",,,,The Literary Digest,54,,04.14,1917,,,James Joyce
britishj,fla-joyc-jjw1-0004-001.tif,29,29,Representative items from Mr. Huebsch's new list:,A Portrait of the Artist as a Young Man,,,,The New Republic,9,,11.18,1916,,,James Joyce
britishj,fla-joyc-jjw1-0005-001.tif,138,138-139,Green Sickness,,,,F. H.,The New Republic,10,,03.03,1917,,,James Joyce
britishj,fla-joyc-jjw1-0005-002.tif,139,138-139,Green Sickness,,,,F. H.,The New Republic,10,,03.03,1917,,,James Joyce
britishj,fla-joyc-jjw1-0006-001.tif,158,158-160,James Joyce,,,,"Wells, H. G.",The New Republic,10,,03.10,1917,,,James Joyce
britishj,fla-joyc-jjw1-0006-002.tif,159,158-160,James Joyce,,,,"Wells, H. G.",The New Republic,10,,03.10,1917,,,James Joyce
britishj,fla-joyc-jjw1-0006-003.tif,160,158-160,James Joyce,,,,"Wells, H. G.",The New Republic,10,,03.10,1917,,,James Joyce
britishj,fla-joyc-jjw1-0007-001.tif,170,170,Mr. Huebsch presents James Joyce,,,,F. H.,The New Republic,10,,03.10,1917,,,James Joyce
britishj,fla-joyc-jjw1-0008-001.tif,275,275,Advent in America of a New Irish Realist,,,,,Current Opinion,62,,04.00,1917,,,James Joyce
britishj,fla-kipl-jjw1-0001-001.tif,81,81,KIPLING AMONG THE PROPHETS,,,,,The Independent,87,,07.17,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0002-001.tif,237,237,KIPLING,,,,,The Independent,85,,02.14,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0003-001.tif,201,201,,,,,,The Dial,60,,03.02,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0004-001.tif,358,358-359,BRIEFS OF NEW BOOKS.,"SEA WARFAIR. By Rudyard Kipling. Double-day, Page; $1.25.",,,,The Dial,62,,04.19,1917,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0004-002.tif,359,358-359,BRIEFS OF NEW BOOKS.,"SEA WARFAIR. By Rudyard Kipling. Double-day, Page; $1.25.",,,,The Dial,62,,04.19,1917,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0005-001.tif,37,37-38,A KIPLING HOAX,,,,,The Literary Digest,58,,07.06,1918,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0005-002.tif,38,37-38,A KIPLING HOAX,,,,,The Literary Digest,58,,07.06,1918,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0006-001.tif,39,39,OUR CHRISTAIN DUTY TOWARD THE GERMANS,,,,,The Literary Digest,58,,08.03,1918,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0007-001.tif,21,21-22,LETTERS AND ART,KIPLING'S WELCOME TO AMERICANS,,,,The Literary Digest,58,,08.24,1918,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0007-002.tif,22,21-22,LETTERS AND ART,KIPLING'S WELCOME TO AMERICANS,,,,The Literary Digest,58,,08.24,1918,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0008-001.tif,30,30-31,"KIPLING ON GERMAN ""KULTUR""",,,,,The Literary Digest,57,,04.13,1918,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0008-002.tif,31,30-31,"KIPLING ON GERMAN ""KULTUR""",,,,,The Literary Digest,57,,04.13,1918,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0009-001.tif,1858,1858,"Kipling, Rudyard. A Diversity of Creatures.Pp. 442. New York: Doubleday, Page & Co. $1.50. Postage, 12 cents.",,,,,The Literary Digest,54,,06.16,1917,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0010-001.tif,62,62,THE SNARE OF THE NETS,,,,,The Literary Digest,52,,01.08,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0011-001.tif,437,437,CHANCE FOR A GERMAN KIPLING,,,,,The Literary Digest,52,,02.19,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0012-001.tif,567,567,THE NEW FRENCH KIPLING,,,,,The Literary Digest,52,,03.04,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0013-001.tif,546,546-547,LETTERS AND ART,THE KIPLING OF WAR-DAYS,,,,The Literary Digest,50,,03.13,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0013-002.tif,547,546-547,LETTERS AND ART,THE KIPLING OF WAR-DAYS,,,,The Literary Digest,50,,03.13,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0014-001.tif,158,158-159,LETTERS AND ART,KIPLING TELLS WHY BRITONS SHOULD FIGHT,,,,The Literary Digest,51,,07.24,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0014-002.tif,159,158-159,LETTERS AND ART,KIPLING TELLS WHY BRITONS SHOULD FIGHT,,,,The Literary Digest,51,,07.24,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0015-001.tif,840,840-841,TAKING KIPLING TO TASK,,,,,The Literary Digest,51,,10.16,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0015-002.tif,841,840-841,TAKING KIPLING TO TASK,,,,,The Literary Digest,51,,10.16,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0016-001.tif,1363,1363,"Munson, Arley. Kipling's India. Illustrated. Large 8vo, pp.xii-204. Garden City, N. Y.: Doubleday, Page & Co. $1.50 net.",,,,,The Literary Digest,51,,12.11,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0017-001.tif,247,247-250,THE OTHER MR. KIPLING,,,,G. G.,Living Age,285,,04.24,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0017-002.tif,248,247-250,THE OTHER MR. KIPLING,,,,G. G.,Living Age,285,,04.24,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0017-003.tif,249,247-250,THE OTHER MR. KIPLING,,,,G. G.,Living Age,285,,04.24,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0017-004.tif,250,247-250,THE OTHER MR. KIPLING,,,,G. G.,Living Age,285,,04.24,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0018-001.tif,347,347,Chronicle and Comment,,,,,The Bookman,44,,12.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0019-001.tif,537,537,Some Stories of the Month,,,,,The Bookman,45,,07.00,1917,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0020-001.tif,6,6-8,Chronicle and Comment,,,,,The Bookman,42,,09.00,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0020-002.tif,7,6-8,Chronicle and Comment,,,,,The Bookman,42,,09.00,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0020-003.tif,8,6-8,Chronicle and Comment,,,,,The Bookman,42,,09.00,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0021-001.tif,374,374,Chronicle and Comment,,,,,The Bookman,42,,12.00,1915,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0022-001.tif,518,518-519,Chronicle and Comment,,,,,The Bookman,42,,01.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0022-002.tif,519,518-519,Chronicle and Comment,,,,,The Bookman,42,,01.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0023-001.tif,675,675-677,A SPANISH ESTIMATE OF KIPLING,,,,"Jonius, Wilhelmus",The Bookman,42,,02.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0023-002.tif,676,675-677,A SPANISH ESTIMATE OF KIPLING,,,,"Jonius, Wilhelmus",The Bookman,42,,02.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0023-003.tif,677,675-677,A SPANISH ESTIMATE OF KIPLING,,,,"Jonius, Wilhelmus",The Bookman,42,,02.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0024-001.tif,,,BOOKMAN BREVITIES,,,,,The Bookman,42,,,,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-001.tif,38,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-002.tif,39,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-003.tif,40,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-004.tif,41,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-005.tif,42,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-006.tif,43,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-007.tif,44,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-008.tif,45,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-009.tif,46,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-010.tif,47,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-011.tif,48,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-012.tif,49,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-013.tif,50,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0025-014.tif,51,38-51,THE SUSSEX OF RUDYARD KIPLING,,,,"Young, Wiliam A.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0026-001.tif,103,103-108,ROSTER OF THE KIPLING BATTALION,,,,"Mansback, Irving E.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0026-002.tif,104,103-108,ROSTER OF THE KIPLING BATTALION,,,,"Mansback, Irving E.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0026-003.tif,105,103-108,ROSTER OF THE KIPLING BATTALION,,,,"Mansback, Irving E.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0026-004.tif,106,103-108,ROSTER OF THE KIPLING BATTALION,,,,"Mansback, Irving E.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0026-005.tif,107,103-108,ROSTER OF THE KIPLING BATTALION,,,,"Mansback, Irving E.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0026-006.tif,108,103-108,ROSTER OF THE KIPLING BATTALION,,,,"Mansback, Irving E.",The Bookman,43,,03.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0027-001.tif,258,258-259,Chronicle and Comment,,,,,The Bookman,43,,05.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0027-002.tif,259,258-259,Chronicle and Comment,,,,,The Bookman,43,,05.00,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0028-001.tif,53,53-55,Rudyard Kipling,"Rudyard Kipling, by John Palmer. New York: Henry Hold & Co. 50 cents.",,,"Wyatt, Edith",The New Republic,9,,11.11,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0028-002.tif,54,53-55,Rudyard Kipling,"Rudyard Kipling, by John Palmer. New York: Henry Hold & Co. 50 cents.",,,"Wyatt, Edith",The New Republic,9,,11.11,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0028-003.tif,55,53-55,Rudyard Kipling,"Rudyard Kipling, by John Palmer. New York: Henry Hold & Co. 50 cents.",,,"Wyatt, Edith",The New Republic,9,,11.11,1916,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0029-001.tif,112,112,Books and Things,,,,,The New Republic,112,,05.26,1917,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0030-001.tif,396,396,KIPLING AS THE GREATEST STORY-TELLER OF OUR TIME,,,,,Current Opinion,65,,12.00,1918,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0031-001.tiff,442,442-443,,,,,"Macy, John",The Dial,,,05.17,1917,,,Rudyard Kipling
britishj,fla-kipl-jjw1-0031-002.tiff,443,442-443,,,,,"Macy, John",The Dial,,,05.17,1917,,,Rudyard Kipling
britishj,fla-tago-jjw1-0001-001.tiff,66,66-67,Two Volumes by Tagore,,,,,The Independent,95,,07.13,1918,,,Rabindranath Tagore
britishj,fla-tago-jjw1-0001-002.tiff,67,66-67,Two Volumes by Tagore,,,,,The Independent,95,,07.13,1918,,,Rabindranath Tagore
britishj,fla-tago-jjw1-0002-001.tiff,56,56,NEW BOOKS FOR AUTUMN READING,Men of Mark,,,,The Independent,92,,,,,,Rabindranath Tagore
britishj,fla-tago-jjw1-0003-001.tiff,512,512,THE NEW BOOKS,A Hindoo Drama,,,,The Independent,91,,,,,,Rabindranath Tagore
britishj,fla-tago-jjw1-0004-001.tiff,69,69,THE SOUL OF INDIA,,,,"Kilmer, Joyce",The Independent,89,,,,,,Rabindranath Tagore
britishj,fla-tago-jjw1-0005-001.tiff,16,16,EAST AND WEST,,,,"Tagore, Rabindranath",The Independent,88,,10.02,1916,,,Rabindranath Tagore
